x	y	RR	N_pairs	N_x	N_y	N_total	date	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed	RR_lower	RR_upper	nRR_fixed_lower	nRR_fixed_upper
12-17	12-17	1.5548490502319503	5070	47179	47179	682618	2021-02-28	1.5548490502319503	5070	1.5548490502319503	5070	1	1.4750099190210444	1.4219397870017185	1.6842718468043762	1.3505538316068657	1.6033466541990469
12-17	18-24	0.8660179192405444	6218	47179	103885	682618	2021-02-28	1.5548490502319503	5070	1.9207004384452953	30366	0.4983487774016079	0.8215492177450988	0.8231431886760927	0.9099909118979844	0.7781755629984599	0.8628636353572507
12-17	25-64	0.9754106551176768	28360	47179	420676	682618	2021-02-28	1.5548490502319503	5070	1.0541278605528936	273282	0.7477342180266743	0.9253248032037316	0.9601174535991323	0.9890457495770985	0.9073194102370288	0.9403556342589917
12-17	5-11	1.17110985385998	2780	47179	34346	682618	2021-02-28	1.5548490502319503	5070	1.7788087956591272	3074	0.7025975118013021	1.110975146075476	1.1051447987682246	1.2479231044990409	1.0494946319970107	1.1886887515664846
12-17	65-80	0.9021297530796684	3076	47179	49334	682618	2021-02-28	1.5548490502319503	5070	1.9010198061390928	6778	0.5220856407305811	0.8558067639029084	0.8435752517535111	0.9606404293775852	0.7994822333360339	0.9136855659539885
12-17	80+	0.7322565243863666	664	47179	13120	682618	2021-02-28	1.5548490502319503	5070	4.8697698135875225	1228	0.2279532965014008	0.6946562668425209	0.647476655735225	0.8405300970799352	0.6130937442710843	0.79675149475183
18-24	0-4	0.7752710445396106	1661	103885	14078	682618	2021-02-28	1.9207004384452953	30366	2.459201001196407	714	0.3540130092986894	0.7354620568827185	0.6992059256419468	0.8445518823435196	0.6621357275618164	0.8022322316927968
18-24	12-17	0.8660179192405444	6218	103885	47179	682618	2021-02-28	1.9207004384452953	30366	1.5548490502319503	5070	0.4983487774016079	0.8215492177450988	0.8231431886760927	0.9099909118979844	0.7781755629984599	0.8628636353572507
18-24	18-24	1.9207004384452953	30366	103885	103885	682618	2021-02-28	1.9207004384452953	30366	1.9207004384452953	30366	1	1.822075395519744	1.8067244456687477	2.0320681012856694	1.7252066497606906	1.9204240779512225
18-24	25-64	0.8481584354080598	54300	103885	420676	682618	2021-02-28	1.9207004384452953	30366	1.0541278605528936	273282	0.5702234550435653	0.8046067912133522	0.8278878592483908	0.8713262715101245	0.7829651303030016	0.8311538542157794
