x	y	RR	N_pairs	N_x	N_y	N_total
03y	01y	1.70379108794922	836	101322	101828	21027180
03y	02y	1.5730112183534655	677	101322	89317	21027180
03y	03y	2.617606610401846	1278	101322	101322	21027180
03y	04y	1.5878793996251577	840	101322	109784	21027180
03y	05y	1.7388581988476899	1016	101322	121257	21027180
03y	06y	1.5324606818417832	963	101322	130411	21027180
03y	07y	1.3744489759591123	915	101322	138156	21027180
03y	08y	1.3565952586816978	925	101322	141504	21027180
03y	09y	1.2950780837602098	1054	101322	168897	21027180
03y	10y	1.306329306843442	1137	101322	180628	21027180
03y	11y	1.26848900296392	1168	101322	191088	21027180
03y	12y	1.1247809348078006	908	101322	167531	21027180
03y	13y	1.1259194509032788	903	101322	166440	21027180
03y	14y	1.0919022370579197	1029	101322	195573	21027180
03y	15y	1.136802409243082	1149	101322	209755	21027180
03y	16y	1.0029051504777413	1084	101322	224309	21027180
03y	17y	0.9227644198213804	1024	101322	230296	21027180
03y	18y	0.8405238831826525	1119	101322	276285	21027180
03y	19y	0.8750832124691782	1317	101322	312330	21027180
03y	20y	0.9174788610302911	1551	101322	350827	21027180
03y	21y	0.9385980730130385	1770	101322	391355	21027180
03y	22y	0.9366671904729603	1915	101322	424288	21027180
03y	23y	0.986444135612161	1986	101322	417815	21027180
03y	24y	0.9634637690662569	2012	101322	433381	21027180
03y	25y	0.9363366140548812	1967	101322	435963	21027180
03y	26y	0.9613573006727015	2032	101322	438648	21027180
03y	27y	0.9483977424681652	2093	101322	457990	21027180
03y	28y	1.012891416578651	2168	101322	444195	21027180
03y	29y	0.9841206330051585	2209	101322	465827	21027180
03y	30y	0.9981493836143425	2231	101322	463854	21027180
03y	31y	1.0282681782582406	2216	101322	447240	21027180
03y	32y	1.0451159745804206	2205	101322	437846	21027180
03y	33y	1.10335438990925	2192	101322	412290	21027180
03y	34y	1.0882920233666953	2089	101322	398355	21027180
03y	35y	1.0920738419771359	2009	101322	381773	21027180
03y	36y	1.0940644055071729	1953	101322	370456	21027180
03y	37y	1.0425739279083044	1841	101322	366458	21027180
03y	38y	1.0347381805189706	1709	101322	342759	21027180
03y	39y	1.0327625935009574	1703	101322	342209	21027180
03y	40y	1.03831576979929	1709	101322	341578	21027180
03y	41y	1.0672201904153595	1657	101322	322215	21027180
03y	42y	1.030929467351794	1612	101322	324499	21027180
03y	43y	0.9657024526832968	1472	101322	316331	21027180
03y	44y	0.9451831666542904	1381	101322	303218	21027180
03y	45y	0.961168778189177	1393	101322	300766	21027180
03y	46y	0.9589934558530678	1375	101322	297553	21027180
03y	47y	0.9795400891056762	1372	101322	290676	21027180
03y	48y	0.9106789722029593	1231	101322	280524	21027180
03y	49y	0.9428741670872195	1297	101322	285472	21027180
03y	50y	0.9302429150496279	1283	101322	286225	21027180
03y	51y	0.9439587220337481	1350	101322	296796	21027180
03y	52y	0.961205122564705	1316	101322	284130	21027180
03y	53y	0.8898440794092368	1166	101322	271933	21027180
03y	54y	0.9258317880480943	1187	101322	266070	21027180
03y	55y	0.9332352220276386	1245	101322	276857	21027180
03y	56y	0.9187848846770753	1169	101322	264045	21027180
03y	57y	0.9274592250507976	1150	101322	257324	21027180
03y	58y	0.916394172604133	1165	101322	263828	21027180
03y	59y	0.9014624220765589	1132	101322	260601	21027180
03y	60y	0.8992130503682889	1051	101322	242559	21027180
03y	61y	0.9324659430837924	1110	101322	247040	21027180
03y	62y	0.9485864620939097	1006	101322	220089	21027180
03y	63y	0.9155815807280909	946	101322	214423	21027180
03y	64y	0.9540028433348954	964	101322	209703	21027180
03y	65y	0.8492327260785	786	101322	192076	21027180
03y	66y	0.8406584756466685	713	101322	176014	21027180
03y	67y	0.9229027783059244	754	101322	169548	21027180
03y	68y	0.9621099248632663	743	101322	160266	21027180
03y	69y	0.910571932332085	632	101322	144039	21027180
03y	70y	0.9094074191601166	605	101322	138062	21027180
03y	71y	0.8951223375472244	575	101322	133310	21027180
03y	72y	0.8465160887190833	488	101322	119636	21027180
03y	73y	0.8115455034087804	464	101322	118654	21027180
03y	74y	0.8465901275674584	484	101322	118645	21027180
03y	75y	0.838380860736139	419	101322	103717	21027180
03y	76y	0.8780854705633262	395	101322	93355	21027180
