date	x	y	nRR	RR	N_pairs	N_x	N_y	region_x	region_y	country_x	country_y	nb_dist
2020-01-01	Florida	Virginia	0.2965457390305731	2.734313622507853	48	3377	1153	Southeast	Southeast	USA	USA	3
2020-01-01	Georgia	Virginia	0.13064173805791912	2.969333630402832	14	907	1153	Southeast	Southeast	USA	USA	2
2020-01-01	Hawaii	Virginia	0.1784422921845029	3.9910894545349858	5	241	1153	Far West	Southeast	USA	USA	NA
2020-01-01	Idaho	Virginia	0.11330166566103043	1.545350269404954	60	7469	1153	Rocky Mountain	Southeast	USA	USA	5
2020-01-01	Illinois	Virginia	0.13433270345532863	1.598130875573566	43	5176	1153	Great Lakes	Southeast	USA	USA	2
2020-01-01	Iowa	Virginia	0.06412064005743813	1.7827793338533575	21	2266	1153	Plains	Southeast	USA	USA	3
2020-01-01	Kansas	Virginia	0.058933824152509966	0.6245818362036922	1	308	1153	Plains	Southeast	USA	USA	3
2020-01-01	Maine	Virginia	0.10788192113039156	2.335300667125543	16	1318	1153	New England	Southeast	USA	USA	5
2020-01-01	Manitoba	Virginia	0.0567114340399787	0.8220959259012165	8	1872	1153	Western Canada	Southeast	Canada	USA	5
2020-01-01	Massachusetts	Virginia	0.1333137182921529	1.342182463542228	49	7023	1153	New England	Southeast	USA	USA	4
2020-01-01	Mexico	Virginia	0.06891155217831031	1.4391817507402354	3	401	1153	Mexico	Southeast	Mexico	USA	4
2020-01-01	Michigan	Virginia	0.22706497864698708	2.468594217232369	96	7481	1153	Great Lakes	Southeast	USA	USA	3
2020-01-01	Minnesota	Virginia	0.18105771492694256	2.196303682920195	34	2978	1153	Plains	Southeast	USA	USA	4
2020-01-01	Mississippi	Virginia	0.113511769310747	2.7879822014404767	2	138	1153	Southeast	Southeast	USA	USA	2
2020-01-01	Missouri	Virginia	0.1342582369473546	1.769194323129011	15	1631	1153	Plains	Southeast	USA	USA	2
2020-01-01	Nevada	Virginia	0.048934284054278826	2.211155306995245	5	435	1153	Far West	Southeast	USA	USA	6
2020-01-01	New Jersey	Virginia	0.3123761833113385	4.145914331429255	10	464	1153	Mideast	Southeast	USA	USA	3
